date,state,positive,negative,hospitalized,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death
20200818,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,ID,27660.0,196827.0,1110.0,,,10883.0,A,269.0
20200817,DC,13273.0,232382.0,,15.0,,10521.0,A+,597.0
20200817,NM,23408.0,647165.0,2965.0,,,10481.0,B,714.0
20200817,GA,238861.0,1788556.0,22133.0,,,,A,4727.0
20200818,WI,71424.0,1075397.0,5380.0,,,57382.0,A+,1059.0
20200817,AR,53077.0,569385.0,3621.0,120.0,472.0,46133.0,A,603.0
20200817,AL,109004.0,743919.0,12958.0,,720.0,41523.0,B,1925.0
20200817,AS,0.0,1514.0,,,,,C,0.0
20200817,CO,53176.0,581397.0,6735.0,,,5695.0,A,1768.0
20200818,MD,101235.0,1066070.0,13698.0,,,6008.0,A,3650.0
20200818,HI,5215.0,158984.0,288.0,25.0,,1868.0,C,40.0
20200817,DE,16536.0,196102.0,,,,8713.0,A+,593.0
20200818,SD,10443.0,119570.0,927.0,,,9126.0,A,154.0
20200818,KY,40299.0,686601.0,4252.0,,,9233.0,B,830.0
20200817,PA,124844.0,1342475.0,,95.0,,98626.0,A+,7468.0
20200818,OR,23676.0,472662.0,1929.0,20.0,,4468.0,A+,397.0
20200818,MO,69417.0,798064.0,,116.0,,,A,1402.0
20200818,GU,577.0,28649.0,,,,353.0,A,5.0
20200818,FL,579932.0,3699108.0,35112.0,,,,B,9893.0
20200818,NC,146779.0,1804341.0,,,,127749.0,A+,2396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200818,AZ,194920.0,909077.0,20878.0,260.0,,28027.0,A+,4529.0
20200817,AK,5110.0,300538.0,,4.0,,1432.0,A,28.0
20200818,NH,7017.0,179890.0,712.0,,,6333.0,B,424.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,CA,628031.0,9305749.0,,,,,B,11242.0
20200817,ND,8647.0,171772.0,461.0,,,7343.0,C,105.0
20200818,MN,66061.0,937245.0,5932.0,,,59568.0,A,1767.0
